engagementRate,uniqueActors,uniqueViewers,engagements,impressions,URL
0,0,0,40,0,https://www.digitaltrends.com/home/california-passes-iot-legislation/
0,0,260,40,60,https://www.entrepreneur.com/article/321806
0,0,0,40,0,https://www.eventbrite.com/e/51082315581?aff=efbneb
0,0,0,50,0,https://www.eventbrite.com/e/northwest-ohio-issa-meeting-october-18th-2018-tickets-50500964745
0,0,40,40,100,https://www.ey.com/en_gl/news/2018/10/ey-named-a-leader-in-innovation-consulting-services-by-independent-research-firm
0,0,100,80,200,https://www.fastcompany.com/90250899/3-steps-to-create-a-21st-century-work-culture
0.227272727,50,220,50,260,https://www.finanznachrichten.de/nachrichten-2018-11/45186112-bain-company-announces-leadership-changes-within-its-private-equity-practice-in-europe-the-middle-east-and-africa-399.htm
0.333333333,60,180,80,180,https://www.finextra.com/newsarticle/32860/most-banks-will-be-made-irrelevant-by-2030---gartner
0.291666667,70,240,60,240,https://www.finextra.com/pressarticle/76052/plaid-strikes-data-sharing-deal-with-jpmorgan-chase
0,0,40,50,0,https://www.foodnavigator-usa.com/Article/2018/11/02/Symrise-expands-US-natural-food-ingredients-business
0.214285714,90,420,120,460,https://www.fool.com/investing/2018/10/13/microsofts-surface-business-achieves-a-new-milesto.aspx
0.2,60,300,100,300,https://www.forbes.com/sites/andrewstephen/2018/10/08/ai-marketing-backtobasics/
0,0,100,60,140,https://www.forbes.com/sites/danwoods/2018/10/17/do-you-need-ai-to-map-and-understand-your-data/
0.148148148,80,540,100,560,https://www.forbes.com/sites/davidnour/2018/11/02/ceo-pens-10-best-practices-of-soul-sucking-ceos/
0,0,60,30,0,https://www.forbes.com/sites/forbescoachescouncil/2018/10/30/seven-ways-to-close-the-diversity-and-inclusion-gap-that-are-easier-than-you-think/
0.105263158,40,380,80,420,https://www.forbes.com/sites/janicegassam/2018/10/11/the-10-most-diverse-companies-of-2018/
0.078947368,60,760,100,840,https://www.forbes.com/sites/jasonbloomberg/2018/11/06/why-you-should-think-twice-about-robotic-process-automation/
0.125,50,400,100,500,https://www.forbes.com/sites/jimmiller/2018/10/17/building-an-analytics-centric-organization/
0.214285714,30,140,30,100,https://www.forbes.com/sites/nazbeheshti/2018/09/30/our-approach-to-employee-engagement-is-not-working/
0.12,60,500,60,640,https://www.forbes.com/sites/pamdanziger/2018/10/29/how-foot-locker-nike-the-north-face-and-starbucks-created-a-customer-loyalty-culture/
0,0,120,40,40,https://www.forbes.com/sites/peterhigh/2018/10/29/lenovo-cio-arthur-hu-is-the-chief-information-officer-of-the-future/
0.166666667,100,600,140,1020,https://www.forbes.com/sites/sarahlandrum/2017/12/08/the-importance-of-working-for-a-boss-that-supports-you/
0.127906977,110,860,140,940,https://www.forbes.com/sites/shephyken/2018/10/28/five-ways-comcast-creates-a-world-class-customer-experience/
0.071428571,80,1120,170,1000,https://www.forbes.com/sites/tomdavenport/2018/10/29/robotic-process-automation-a-gateway-drug-to-ai-and-digital-transformation/
0.075,30,400,90,400,https://www.forbes.com/sites/travisbradberry/2016/06/07/why-the-8-hour-workday-doesnt-work/
0,0,100,40,40,https://www.freep.com/story/money/cars/2018/10/15/elena-ford-customer-experience-role/1647790002/
0.185185185,100,540,140,560,https://www.gainsight.com/blog/csm-product-is-the-new-sales-marketing/
0.214285714,30,140,60,100,https://www.gartner.com/smarterwithgartner/gartner-top-10-strategic-technology-trends-for-2019/
